
------------------------------------------------------------------

FeederID                             E7-473         
                       
Start DateTime                       08-08-2025  12:19:00:PM                                                                              

F09_PC03_DUONGDAY_TT OBJECTID-OH_4205     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_4205     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_4205     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_4206     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_4206     Data Not Avilable in ConductorSize/TietDienDay
F09_PC03_DUONGDAY_TT OBJECTID-OH_4206     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_4296     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_4296     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_4297     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_4297     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_4298     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_4298     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_4299     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_4299     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_4397     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_4397     Data Not Avilable in ConductorMaterial/MaHieu
F09_PC03_DUONGDAY_TT OBJECTID-OH_4581     Data Not Avilable in ConductorType/LoaiDayDan
F09_PC03_DUONGDAY_TT OBJECTID-OH_4581     Data Not Avilable in ConductorMaterial/MaHieu

PC03_FCO IDTBDC-166PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-117PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-112PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-374PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-358PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-140PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-354PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-375PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-355PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-180PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-337PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-129PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-407PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-119PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-335PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-172PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-194PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-390PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-373PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-342PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-99PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-392PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-108PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-196PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-118PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-345PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-343PC03BB     Data Not Avilable in IDinhMuc
PC03_FCO IDTBDC-412PC03BB     Data Not Avilable in IDinhMuc

PC03_LBS IDTBDC-63PC03BB     Data Not Avilable in IDinhMuc
PC03_LBS IDTBDC-63PC03BB     Data Not Avilable in LoaiLBS

Status = Import Successful


End DateTime                         08-08-2025  12:19:43:PM
