[GENERAL]
DATE=August 08, 2025 at 12:20:03
CYME_VERSION=8.00
CYMDIST_REVISION=01
              
[SI]

[NODE]
FORMAT_NODE=NodeID,CoordX,CoordY
759157.649386293_1841178.45678154,759157.649386293,1841178.45678154
759158.149621907_1841178.46186234,759158.149621907,1841178.46186234
759158.649857523_1841178.46694317,759158.649857523,1841178.46694317
759159.449816261_1841178.47506825,759159.449816261,1841178.47506825
759260.195983093_1842085.76564831,759260.195983093,1842085.76564831
759260.204003118_1842084.96568851,759260.204003118,1842084.96568851
759260.209016562_1842084.46562104,759260.209016562,1842084.46562104
759260.214034043_1842083.96522147,759260.214034043,1842083.96522147
759282.34481679_1840107.75436296,759282.34481679,1840107.75436296
759376.398137117_1840306.55464637,759376.398137117,1840306.55464637
759376.405980672_1840305.75468482,759376.405980672,1840305.75468482
759376.4108838_1840305.25461642,759376.4108838,1840305.25461642
759376.41589635_1840304.7543279,759376.41589635,1840304.7543279
759695.198211028_1837171.1542001,759695.198211028,1837171.1542001
759695.201403889_1837170.65400054,759695.201403889,1837170.65400054
759744.812804068_1840023.90892131,759744.812804068,1840023.90892131
759745.612762648_1840023.91706199,759745.612762648,1840023.91706199
759746.113027249_1840023.92215287,759746.113027249,1840023.92215287
759746.613186468_1840023.92713177,759746.613186468,1840023.92713177
759752.351298499_1837460.6187736,759752.351298499,1837460.6187736
759758.172784637_1840053.2351714,759758.172784637,1840053.2351714
759762.399628077_1840095.20257522,759762.399628077,1840095.20257522
759762.431875401_1840095.70176824,759762.431875401,1840095.70176824
759781.672041805_1837906.14691357,759781.672041805,1837906.14691357
759782.472002273_1837906.15486657,759782.472002273,1837906.15486657
759782.972211214_1837906.15983952,759782.972211214,1837906.15983952
759783.472526898_1837906.16481378,759783.472526898,1837906.16481378
759811.075656771_1837903.64263727,759811.075656771,1837903.64263727
759973.497455689_1841063.29757469,759973.497455689,1841063.29757469
759973.505668053_1841062.49761684,759973.505668053,1841062.49761684
759973.510804021_1841061.99732756,759973.510804021,1841061.99732756
759973.51583191_1841061.49714767,759973.51583191,1841061.49714767
760372.265840502_1839875.09817731,760372.265840502,1839875.09817731
760412.062457205_1837605.87648592,760412.062457205,1837605.87648592
760412.258412625_1837606.33681846,760412.258412625,1837606.33681846
760412.562783325_1837605.88136323,760412.562783325,1837605.88136323
760413.063001356_1837605.88634997,760413.063001356,1837605.88634997
760413.862961606_1837605.89432488,760413.862961606,1837605.89432488
760435.912451727_1837661.91592744,760435.912451727,1837661.91592744
760436.108405955_1837662.37626036,760436.108405955,1837662.37626036
760436.60862274_1837662.38124784,760436.60862274,1837662.38124784
